"Subject","Value"
"UAID","478640"
"Name","Census Tract 9509"
"County","Sullivan County"
"State","New York"
"Area (square miles)","10.56"
"Land Area (square miles)","10.35"
"Water Area (square miles)","0.21"
"% of Land Area","97.99"
"% of Water Area","2.01"
"Latitude of the Internal Point","41.72976890"
"Longtitude of the Internal Point","-74.65589400"
"Total Population","3,119"
"Total Housing Units","1,717"
"Total Households","1,008"
"Median Age","29.00"
