"Subject","Value"
"UAID","120290"
"Name","Orange County"
"State","New York"
"Area (square miles)","838.64"
"Land Area (square miles)","811.69"
"Water Area (square miles)","26.96"
"% of Land Area","96.79"
"% of Water Area","3.21"
"Latitude of the Internal Point","41.40240960"
"Longtitude of the Internal Point","-74.30625220"
"Total Population","372,813"
"Total Housing Units","137,025"
"Total Households","125,925"
"Median Age","36.60"
