"Subject","Value"
"UAID","119478"
"Name","Wayne County"
"State","Pennsylvania"
"Area (square miles)","750.61"
"Land Area (square miles)","725.60"
"Water Area (square miles)","25.01"
"% of Land Area","96.67"
"% of Water Area","3.33"
"Latitude of the Internal Point","41.64658940"
"Longtitude of the Internal Point","-75.29248470"
"Total Population","52,822"
"Total Housing Units","31,653"
"Total Households","20,625"
"Median Age","45.90"
