3165|"325551"|"295043"|"18928852"
21390|"325551"|"295044"|"18928856"
17061|"325551"|"295045"|"18928860"
19813|"325551"|"295046"|"18928864"
16955|"325551"|"295047"|"18928868"
4027|"325551"|"295048"|"18929286"
5038|"325551"|"295049"|"18929290"
12518|"325551"|"295050"|"18929294"
3608|"325551"|"295051"|"18928872"
1763|"325551"|"295052"|"18928876"
3248|"325551"|"295053"|"18928880"
2319|"325551"|"295054"|"18928884"
1088|"325551"|"295055"|"18928888"
4223|"325551"|"295056"|"18928892"
2147|"325551"|"295057"|"18928896"
1326|"325551"|"295058"|"18928900"
2596|"325551"|"295059"|"18928903"
3443|"325551"|"295060"|"18928907"
3339|"325551"|"295061"|"18928911"
2153|"325551"|"295062"|"18928915"
2748|"325551"|"295063"|"18928919"
1070|"325551"|"295064"|"18928923"
2313|"325551"|"295065"|"18928926"
2376|"325551"|"295066"|"18928929"
1213|"325551"|"295067"|"18928932"
785|"325551"|"295068"|"18928935"
7804|"325551"|"295069"|"18928938"
325|"325551"|"295070"|"18928942"
14153|"325551"|"295071"|"18928945"
12465|"325551"|"295072"|"18928948"
5437|"325551"|"295073"|"18928951"
4632|"325551"|"295074"|"18929262"
7527|"325551"|"295075"|"18929266"
7372|"325551"|"295076"|"18929270"
1817|"325551"|"295077"|"18928954"
3362|"325551"|"295078"|"18928957"
2023|"325551"|"295079"|"18928960"
6288|"325551"|"295080"|"18928963"
513|"325551"|"295081"|"18928966"
5075|"325551"|"295082"|"18929298"
3079|"325551"|"295083"|"18928969"
406|"325551"|"295084"|"18928973"
352|"325551"|"295085"|"18928976"
287|"325551"|"295086"|"18928979"
563|"325551"|"295087"|"18929240"
762|"325551"|"295088"|"18929243"
3277|"325551"|"295089"|"18928982"
3897|"325551"|"295090"|"18928985"
1283|"325551"|"295091"|"18928988"
3060|"325551"|"295092"|"18929246"
7098|"325551"|"295093"|"18929250"
1274|"325551"|"295094"|"18929254"
3428|"325551"|"295095"|"18928991"
7021|"325551"|"295096"|"18928995"
1843|"325551"|"295097"|"18928998"
3735|"325551"|"295098"|"18929001"
497|"325551"|"295099"|"18929004"
977|"325551"|"295100"|"18929007"
12916|"325551"|"295101"|"18929010"
11145|"325551"|"295102"|"18929014"
5056|"325551"|"295103"|"18929018"
536|"325551"|"295104"|"18929022"
464|"325551"|"295105"|"18929025"
501|"325551"|"295106"|"18929029"
231|"325551"|"295107"|"18929033"
297|"325551"|"295108"|"18929037"
3931|"325551"|"295109"|"18929040"
468|"325551"|"295110"|"18929044"
1083|"325551"|"295111"|"18929048"
188|"325551"|"295112"|"18929052"
610|"325551"|"295113"|"18929056"
817|"325551"|"295114"|"18929060"
539|"325551"|"295115"|"18929064"
709|"325551"|"295116"|"18929068"
1273|"325551"|"295117"|"18929072"
1474|"325551"|"295118"|"18929076"
292|"325551"|"295119"|"18929080"
1629|"325551"|"295120"|"18929084"
867|"325551"|"295121"|"18929088"
960|"325551"|"295122"|"18929092"
2719|"325551"|"295123"|"18929096"
2659|"325551"|"295124"|"18929100"
9719|"325551"|"295125"|"18929258"
819|"325551"|"295126"|"18929104"
987|"325551"|"295127"|"18929108"
419|"325551"|"295128"|"18929111"
8269|"325551"|"295129"|"18929114"
6143|"325551"|"295130"|"18929118"
2394|"325551"|"295131"|"18929122"
1807|"325551"|"295132"|"18929274"
21494|"325551"|"295133"|"18929278"
2151|"325551"|"295134"|"18929282"
347|"325551"|"295135"|"18929126"
507|"325551"|"295136"|"18929129"
1363|"325551"|"295137"|"18929133"
2722|"325551"|"295138"|"18929137"
2722|"325554"|"295138"|"18929140"
1296|"325551"|"295139"|"18929141"
1296|"325552"|"295139"|"18929142"
|"325553"|"295139"|"18929143"
1296|"325554"|"295139"|"18929144"
584|"325551"|"295140"|"18929145"
584|"325552"|"295140"|"18929146"
|"325553"|"295140"|"18929147"
584|"325554"|"295140"|"18929148"
1084|"325551"|"295141"|"18929149"
1084|"325552"|"295141"|"18929150"
|"325553"|"295141"|"18929151"
1084|"325554"|"295141"|"18929152"
995|"325551"|"295142"|"18929153"
995|"325552"|"295142"|"18929154"
|"325553"|"295142"|"18929155"
995|"325554"|"295142"|"18929156"
3248|"325551"|"295143"|"18929157"
3248|"325552"|"295143"|"18929158"
|"325553"|"295143"|"18929159"
3248|"325554"|"295143"|"18929160"
223|"325551"|"295144"|"18929161"
223|"325552"|"295144"|"18929162"
|"325553"|"295144"|"18929163"
223|"325554"|"295144"|"18929164"
141|"325551"|"295145"|"18929165"
141|"325552"|"295145"|"18929166"
|"325553"|"295145"|"18929167"
141|"325554"|"295145"|"18929168"
3613|"325551"|"295146"|"18929169"
3613|"325552"|"295146"|"18929170"
|"325553"|"295146"|"18929171"
3613|"325554"|"295146"|"18929172"
|"325553"|"295138"|"18929139"
2722|"325552"|"295138"|"18929138"
1363|"325554"|"295137"|"18929136"
|"325553"|"295137"|"18929135"
1363|"325552"|"295137"|"18929134"
507|"325554"|"295136"|"18929132"
|"325553"|"295136"|"18929131"
507|"325552"|"295136"|"18929130"
347|"325554"|"295135"|"18929128"
347|"325552"|"295135"|"18929127"
