"2"|"13888809"|"3127015"
"3"|"13888809"|"3127016"
"1"|"13888811"|"3127017"
"3"|"13888811"|"3127018"
"2"|"13888813"|"3127019"
"3"|"13888813"|"3127020"
"2"|"13888847"|"3127021"
"3"|"13888847"|"3127022"
"4"|"13888847"|"3127023"
"2"|"13888854"|"3127024"
"3"|"13888854"|"3127025"
"4"|"13888854"|"3127026"
"1"|"13888855"|"3127027"
"3"|"13888855"|"3127028"
"2"|"13888856"|"3127029"
"3"|"13888856"|"3127030"
"2"|"13888857"|"3127031"
"3"|"13888857"|"3127032"
"1"|"13888858"|"3127033"
"3"|"13888858"|"3127034"
"2"|"13888859"|"3127035"
"3"|"13888859"|"3127036"
"4"|"13888859"|"3127037"
"1"|"13888861"|"3127038"
"3"|"13888861"|"3127039"
"1"|"13888862"|"3127040"
"3"|"13888862"|"3127041"
"2"|"13888863"|"3127042"
"3"|"13888863"|"3127043"
"2"|"13888864"|"3127044"
"4"|"13888864"|"3127045"
"2"|"13888866"|"3127046"
"3"|"13888866"|"3127047"
"2"|"13888867"|"3127048"
"3"|"13888867"|"3127049"
"4"|"13888867"|"3127050"
"2"|"13888940"|"3127051"
"4"|"13888940"|"3127052"
"2"|"13888944"|"3127053"
"3"|"13888944"|"3127054"
"4"|"13888944"|"3127055"
"1"|"13888948"|"3127056"
"3"|"13888948"|"3127057"
"1"|"13888949"|"3127058"
"3"|"13888949"|"3127059"
"2"|"13888950"|"3127060"
"3"|"13888950"|"3127061"
"2"|"13889038"|"3127062"
"2"|"13889039"|"3127063"
"3"|"13889039"|"3127064"
"2"|"13889042"|"3127065"
"3"|"13889042"|"3127066"
"2"|"13889046"|"3127067"
"2"|"13889047"|"3127068"
"3"|"13889047"|"3127069"
"1"|"13889049"|"3127070"
"3"|"13889049"|"3127071"
"2"|"13889053"|"3127072"
"3"|"13889053"|"3127073"
"2"|"13889059"|"3127074"
"3"|"13889059"|"3127075"
"2"|"13889064"|"3127076"
"3"|"13889064"|"3127077"
"2"|"13889069"|"3127078"
"3"|"13889069"|"3127079"
"1"|"13889089"|"3127080"
"3"|"13889089"|"3127081"
"1"|"13889090"|"3127082"
"3"|"13889090"|"3127083"
"2"|"13889091"|"3127084"
"3"|"13889091"|"3127085"
"2"|"13889097"|"3127086"
"4"|"13889097"|"3127087"
"2"|"13889102"|"3127088"
"4"|"13889102"|"3127089"
"1"|"13889111"|"3127090"
"3"|"13889111"|"3127091"
"2"|"13889112"|"3127092"
"3"|"13889112"|"3127093"
"1"|"13889113"|"3127094"
"3"|"13889113"|"3127095"
"2"|"13889114"|"3127096"
"3"|"13889114"|"3127097"
"2"|"13889115"|"3127098"
"3"|"13889115"|"3127099"
"4"|"13889115"|"3127100"
"2"|"13889120"|"3127101"
"3"|"13889120"|"3127102"
"4"|"13889120"|"3127103"
"2"|"13889133"|"3127104"
"2"|"13889141"|"3127105"
"2"|"13889152"|"3127106"
"3"|"13889152"|"3127107"
"4"|"13889152"|"3127108"
"2"|"13889157"|"3127109"
"2"|"13889158"|"3127110"
"2"|"13889159"|"3127111"
"4"|"13889159"|"3127112"
"2"|"13889170"|"3127113"
"4"|"13889170"|"3127114"
"2"|"13889199"|"3127115"
"3"|"13889199"|"3127116"
"2"|"13889200"|"3127117"
"2"|"13889203"|"3127118"
"3"|"13889203"|"3127119"
"2"|"13889208"|"3127120"
"3"|"13889208"|"3127121"
"2"|"13889218"|"3127122"
"4"|"13889218"|"3127123"
"2"|"13889219"|"3127124"
"3"|"13889219"|"3127125"
"1"|"13889220"|"3127126"
"3"|"13889220"|"3127127"
"1"|"13889222"|"3127128"
"3"|"13889222"|"3127129"
"2"|"13889225"|"3127130"
"3"|"13889225"|"3127131"
"1"|"13889228"|"3127132"
"3"|"13889228"|"3127133"
"1"|"13889229"|"3127134"
"3"|"13889229"|"3127135"
"2"|"13889255"|"3127136"
"3"|"13889255"|"3127137"
"2"|"13889257"|"3127138"
"2"|"13889260"|"3127139"
"3"|"13889260"|"3127140"
"2"|"13889264"|"3127141"
"2"|"13889265"|"3127142"
"3"|"13889265"|"3127143"
"2"|"13889295"|"3127144"
"3"|"13889295"|"3127145"
"2"|"13889302"|"3127146"
"2"|"13889311"|"3127147"
"2"|"13889350"|"3127148"
"2"|"13889425"|"3127149"
"2"|"13889426"|"3127150"
"3"|"13889426"|"3127151"
"2"|"13889438"|"3127152"
"2"|"13889440"|"3127153"
"2"|"13889443"|"3127154"
"2"|"13889447"|"3127155"
"2"|"13889449"|"3127156"
"3"|"13889449"|"3127157"
