"H2"||"H"||2||15|||91|||||0|2|5|0|7|25|45|60|75|30|45|60|20|35|60|20|25|55|0|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|80|||||||0|17|27||||0|0.75|2||||1.2|1.35|1.5|||||1.46|||4|9|14|0.04|0.08|0.12|||||14.9|||5.8|||27||0|1.5|2.9|20|25|30|2|4.5|7|0|0|1|".15"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||0.1|9.2|14.5||||3.6|4.8|6|||||||||||||||||||||||||||||||||"13888829"|"39867705"
"H3"||"H"||3||91|||101|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.005|0.01||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"13888829"|"39867706"
"Oi"||"O"||||0|||5|||||0|0|5|0|2|10|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||50|75|100||||0.1|0.25|0.4|||||||1.5|1.4|22|42|0.2|0.35|0.5||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||16.5|34.2|81.5||||3.6|4.8|6|3.5|4.3|5.5||||||||||||||||||||||||||||||"13888829"|"39867707"
"Oe"||"O"||||0|||3|||||0|0|5|0|2|10|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||50|75|100||||0.1|0.25|0.4|||||||1.5|1.4|22|42|0.2|0.35|0.5||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||16.5|34.2|81.5||||3.6|4.8|6|3.5|4.3|5.5||||||||||||||||||||||||||||||"13888835"|"39867708"
"H1"||"H"||1||3|||8|||||0|0|5|0|2|10|40|80|90|25|70|80|20|60|80|15|45|70|24|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|50|||||||7|17|27||||3|4.5|6||||1.1|1.25|1.4|||||1.32|||4|9|14|0.1|0.13|0.15|||||23.7|||11.3|||40||0|1.5|2.9|35|40|45|1|5|9|0|0|7|".20"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||1.4|4.1|7.4||||3.6|4.8|6|||||||||||||||||||||||||||||||||"13888835"|"39867709"
"H2"||"H"||2||8|||43|||||0|0|5|2|10|25|40|65|70|25|45|50|20|35|50|15|30|45|0|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|80|||||||0|17|27||||0|1|2||||1.2|1.35|1.5|||||1.46|||4|9|14|0.08|0.1|0.12|||||15|||6|||26||0|1.5|2.9|20|27.5|35|1|5|9|0|0|1|".15"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||0|4.9|13.4||||3.6|5.2|6|||||||||||||||||||||||||||||||||"13888835"|"39867710"
"H3"||"H"||3||43|||53|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.005|0.01||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"13888835"|"39867711"
"H2"||"H"||2||15|||91|||||0|2|5|0|7|25|45|60|75|30|45|60|20|35|60|20|25|55|0|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|80|||||||0|17|27||||0|0.75|2||||1.2|1.35|1.5|||||1.46|||4|9|14|0.04|0.08|0.12|||||14.9|||5.8|||27||0|1.5|2.9|20|25|30|2|4.5|7|0|0|1|".15"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||0.1|9.2|14.5||||3.6|4.8|6|||||||||||||||||||||||||||||||||"13888836"|"39867712"
"H3"||"H"||3||91|||101|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.005|0.01||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"13888836"|"39867713"
"Oi"||"O"||||0|||5|||||0|0|5|0|2|10|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||50|75|100||||0.1|0.25|0.4|||||||1.5|1.4|22|42|0.2|0.35|0.5||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||16.5|34.2|81.5||||3.6|4.8|6|3.5|4.3|5.5||||||||||||||||||||||||||||||"13888836"|"39867714"
"H1"||"H"||1||5|||15|||||0|0|5|0|5|15|45|65|75|30|50|60|25|45|60|20|40|55|0|30.4|50||2.5|||3.6|||5|||9.5|||9.8||50|55.6|80|||||||0|14|27||||2|4|6||||1.1|1.25|1.4|||||1.34|||4|9|14|0.05|0.09|0.13|||||17.9|||7.7|||32||0|1.5|2.9|35|40|45|2|4.5|7|0|0|3|".10"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||0.1|8.1|15.1||||3.6|4.8|6|||||||||||||||||||||||||||||||||"13888836"|"39867715"
"H1"||"H"||1||0|||20|||||0|0|0|0|0|0|65|100|100|50|100|100|35|90|100|20|65|90|32|45|52||4.5|||6.1|||8|||13.8|||12.6||28|43|50|||||||7|12|17||||1|3|5||||1.15|1.28|1.4|||||1.34|||4|9|14|0.16|0.19|0.21|||||25.6|||9.8|||48||0|1.5|2.9|15|20|25|2|4.5|7|0|0|4|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||1.5|2.9|4.9||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13888841"|"39867716"
