"GW"|No |"39867741"|"75505625"
"SM"|No |"39867741"|"75505626"
"GM"|No |"39867742"|"75505627"
"ML"|No |"39867742"|"75505628"
"SC-SM"|Yes|"39867742"|"75505629"
"GM"|No |"39867743"|"75505630"
"ML"|No |"39867743"|"75505631"
"SM"|Yes|"39867743"|"75505632"
"GM"|No |"39867744"|"75505633"
"SM"|Yes|"39867744"|"75505634"
"GM"|No |"39867745"|"75505635"
"ML"|No |"39867745"|"75505636"
"SC-SM"|Yes|"39867745"|"75505637"
"GM"|No |"39867746"|"75505638"
"ML"|No |"39867746"|"75505639"
"SM"|Yes|"39867746"|"75505640"
"GM"|No |"39867747"|"75505641"
"SM"|Yes|"39867747"|"75505642"
"GM"|No |"39867748"|"75505643"
"ML"|No |"39867748"|"75505644"
"SC-SM"|Yes|"39867748"|"75505645"
"GM"|No |"39867749"|"75505646"
"ML"|No |"39867749"|"75505647"
"SM"|Yes|"39867749"|"75505648"
"GM"|No |"39867750"|"75505649"
"SM"|Yes|"39867750"|"75505650"
"GM"|No |"39867751"|"75505651"
"ML"|No |"39867751"|"75505652"
"SC-SM"|Yes|"39867751"|"75505653"
"GM"|No |"39867752"|"75505654"
"ML"|No |"39867752"|"75505655"
"SM"|Yes|"39867752"|"75505656"
"GM"|No |"39867753"|"75505657"
"SM"|Yes|"39867753"|"75505658"
"GM"|No |"39867754"|"75505659"
"ML"|No |"39867754"|"75505660"
"SC-SM"|Yes|"39867754"|"75505661"
"GM"|No |"39867755"|"75505662"
"ML"|No |"39867755"|"75505663"
"SC-SM"|Yes|"39867755"|"75505664"
"GM"|No |"39867756"|"75505665"
"ML"|No |"39867756"|"75505666"
"SM"|Yes|"39867756"|"75505667"
"GM"|No |"39867757"|"75505668"
"SM"|Yes|"39867757"|"75505669"
"GM"|No |"39867758"|"75505670"
"ML"|No |"39867758"|"75505671"
"SM"|Yes|"39867758"|"75505672"
"ML"|No |"39867759"|"75505673"
"SM"|Yes|"39867759"|"75505674"
"ML"|No |"39867760"|"75505675"
"SM"|Yes|"39867760"|"75505676"
"GM"|No |"39867761"|"75505677"
"ML"|Yes|"39867761"|"75505678"
"SM"|No |"39867761"|"75505679"
"GM"|No |"39867762"|"75505680"
"ML"|Yes|"39867762"|"75505681"
"SM"|No |"39867762"|"75505682"
"GM"|No |"39867763"|"75505683"
"ML"|No |"39867763"|"75505684"
"SM"|Yes|"39867763"|"75505685"
"ML"|No |"39867764"|"75505686"
"SM"|Yes|"39867764"|"75505687"
"ML"|No |"39867765"|"75505688"
"SM"|Yes|"39867765"|"75505689"
"GM"|No |"39867766"|"75505690"
"ML"|Yes|"39867766"|"75505691"
"SM"|No |"39867766"|"75505692"
"GM"|No |"39867767"|"75505693"
"ML"|No |"39867767"|"75505694"
"SM"|Yes|"39867767"|"75505695"
"ML"|No |"39867768"|"75505696"
"SM"|Yes|"39867768"|"75505697"
"ML"|No |"39867769"|"75505698"
"SM"|Yes|"39867769"|"75505699"
"GM"|No |"39867770"|"75505700"
"ML"|Yes|"39867770"|"75505701"
"SM"|No |"39867770"|"75505702"
"GM"|No |"39867771"|"75505703"
"ML"|No |"39867771"|"75505704"
"SM"|Yes|"39867771"|"75505705"
"ML"|No |"39867772"|"75505706"
"SM"|Yes|"39867772"|"75505707"
"ML"|No |"39867773"|"75505708"
"SM"|Yes|"39867773"|"75505709"
"GM"|No |"39867774"|"75505710"
"ML"|Yes|"39867774"|"75505711"
"SM"|No |"39867774"|"75505712"
"GM"|No |"39867775"|"75505713"
"ML"|No |"39867775"|"75505714"
