"A-4"|Yes|"39867747"|"65283794"
"A-2"|No |"39867748"|"65283795"
"A-4"|Yes|"39867748"|"65283796"
"A-2"|No |"39867749"|"65283797"
"A-4"|Yes|"39867749"|"65283798"
"A-1"|No |"39867750"|"65283799"
"A-2"|No |"39867750"|"65283800"
"A-4"|Yes|"39867750"|"65283801"
"A-2"|No |"39867751"|"65283802"
"A-4"|Yes|"39867751"|"65283803"
"A-2"|No |"39867752"|"65283804"
"A-4"|Yes|"39867752"|"65283805"
"A-1"|No |"39867753"|"65283806"
"A-2"|No |"39867753"|"65283807"
"A-4"|Yes|"39867753"|"65283808"
"A-2"|No |"39867754"|"65283809"
"A-4"|Yes|"39867754"|"65283810"
"A-2"|No |"39867755"|"65283811"
"A-4"|Yes|"39867755"|"65283812"
"A-2"|No |"39867756"|"65283813"
"A-4"|Yes|"39867756"|"65283814"
"A-1"|No |"39867757"|"65283815"
"A-2"|No |"39867757"|"65283816"
"A-4"|Yes|"39867757"|"65283817"
"A-2-4"|Yes|"39867758"|"65283818"
"A-2"|No |"39867758"|"65283819"
"A-4"|No |"39867758"|"65283820"
"A-1-b"|Yes|"39867759"|"65283821"
"A-2"|No |"39867759"|"65283822"
"A-4"|No |"39867759"|"65283823"
"A-1-b"|Yes|"39867760"|"65283824"
"A-2"|No |"39867760"|"65283825"
"A-4"|No |"39867760"|"65283826"
"A-1-b"|No |"39867761"|"65283827"
"A-2"|No |"39867761"|"65283828"
"A-4"|Yes|"39867761"|"65283829"
"A-1-b"|No |"39867762"|"65283830"
"A-2"|No |"39867762"|"65283831"
"A-4"|Yes|"39867762"|"65283832"
"A-2-4"|Yes|"39867763"|"65283833"
"A-2"|No |"39867763"|"65283834"
"A-4"|No |"39867763"|"65283835"
"A-1-b"|Yes|"39867764"|"65283836"
"A-2"|No |"39867764"|"65283837"
"A-4"|No |"39867764"|"65283838"
"A-1-b"|Yes|"39867765"|"65283839"
"A-2"|No |"39867765"|"65283840"
"A-4"|No |"39867765"|"65283841"
"A-1-b"|No |"39867766"|"65283842"
"A-4"|Yes|"39867766"|"65283843"
"A-2"|No |"39867766"|"65283844"
"A-2-4"|Yes|"39867767"|"65283845"
"A-2"|No |"39867767"|"65283846"
"A-4"|No |"39867767"|"65283847"
"A-1-b"|Yes|"39867768"|"65283848"
"A-2"|No |"39867768"|"65283849"
"A-4"|No |"39867768"|"65283850"
"A-1-b"|Yes|"39867769"|"65283851"
"A-2"|No |"39867769"|"65283852"
"A-4"|No |"39867769"|"65283853"
"A-1-b"|No |"39867770"|"65283854"
"A-2"|No |"39867770"|"65283855"
"A-4"|Yes|"39867770"|"65283856"
"A-2-4"|Yes|"39867771"|"65283857"
"A-2"|No |"39867771"|"65283858"
"A-4"|No |"39867771"|"65283859"
"A-1-b"|Yes|"39867772"|"65283860"
"A-2"|No |"39867772"|"65283861"
"A-4"|No |"39867772"|"65283862"
"A-1-b"|Yes|"39867773"|"65283863"
"A-2"|No |"39867773"|"65283864"
"A-4"|No |"39867773"|"65283865"
"A-1-b"|No |"39867774"|"65283866"
"A-2"|No |"39867774"|"65283867"
"A-4"|Yes|"39867774"|"65283868"
"A-2-4"|Yes|"39867775"|"65283869"
"A-2"|No |"39867775"|"65283870"
"A-4"|No |"39867775"|"65283871"
"A-1-b"|Yes|"39867776"|"65283872"
"A-2"|No |"39867776"|"65283873"
"A-4"|No |"39867776"|"65283874"
"A-1-b"|Yes|"39867777"|"65283875"
"A-2"|No |"39867777"|"65283876"
"A-4"|No |"39867777"|"65283877"
"A-1"|No |"39867778"|"65283878"
"A-2"|No |"39867778"|"65283879"
"A-4"|Yes|"39867778"|"65283880"
"A-1"|No |"39867779"|"65283881"
"A-2"|No |"39867779"|"65283882"
"A-4"|Yes|"39867779"|"65283883"
"A-1"|No |"39867780"|"65283884"
"A-2"|No |"39867780"|"65283885"
"A-4"|Yes|"39867780"|"65283886"
"A-1"|No |"39867781"|"65283887"
"A-2"|No |"39867781"|"65283888"
"A-4"|Yes|"39867781"|"65283889"
"A-6"|No |"39867781"|"65283890"
"A-8"|Yes|"39867782"|"65283891"
"A-8"|Yes|"39867783"|"65283892"
"A-2"|No |"39867784"|"65283893"
"A-4"|Yes|"39867784"|"65283894"
"A-8"|Yes|"39867785"|"65283895"
"A-2"|No |"39867786"|"65283896"
"A-4"|Yes|"39867786"|"65283897"
"A-1"|No |"39867787"|"65283898"
"A-2"|No |"39867787"|"65283899"
"A-4"|Yes|"39867787"|"65283900"
"A-2"|No |"39867789"|"65283901"
"A-4"|Yes|"39867789"|"65283902"
"A-1"|No |"39867790"|"65283903"
"A-2"|No |"39867790"|"65283904"
"A-4"|Yes|"39867790"|"65283905"
"A-8"|Yes|"39867792"|"65283906"
"A-2"|No |"39867793"|"65283907"
"A-4"|Yes|"39867793"|"65283908"
"A-2"|No |"39867794"|"65283909"
"A-4"|Yes|"39867794"|"65283910"
"A-1"|No |"39867795"|"65283911"
"A-2"|No |"39867795"|"65283912"
"A-4"|Yes|"39867795"|"65283913"
"A-2"|No |"39867797"|"65283914"
"A-4"|Yes|"39867797"|"65283915"
"A-1"|No |"39867798"|"65283916"
"A-2"|No |"39867798"|"65283917"
"A-4"|Yes|"39867798"|"65283918"
"A-8"|Yes|"39867800"|"65283919"
"A-2"|No |"39867801"|"65283920"
"A-4"|Yes|"39867801"|"65283921"
"A-2"|No |"39867802"|"65283922"
"A-4"|Yes|"39867802"|"65283923"
"A-1"|No |"39867803"|"65283924"
"A-2"|No |"39867803"|"65283925"
"A-4"|Yes|"39867803"|"65283926"
"A-2"|No |"39867805"|"65283927"
"A-4"|Yes|"39867805"|"65283928"
"A-1"|No |"39867806"|"65283929"
"A-2"|No |"39867806"|"65283930"
"A-4"|Yes|"39867806"|"65283931"
"A-2"|No |"39867809"|"65283932"
"A-4"|Yes|"39867809"|"65283933"
"A-2-4"|Yes|"39867810"|"65283934"
"A-4"|No |"39867810"|"65283935"
"A-1-b"|Yes|"39867811"|"65283936"
"A-2"|No |"39867811"|"65283937"
"A-4"|No |"39867811"|"65283938"
"A-2"|No |"39867812"|"65283939"
"A-4"|Yes|"39867812"|"65283940"
"A-2-4"|Yes|"39867813"|"65283941"
"A-4"|No |"39867813"|"65283942"
"A-1-b"|Yes|"39867814"|"65283943"
"A-2"|No |"39867814"|"65283944"
"A-4"|No |"39867814"|"65283945"
"A-2"|No |"39867815"|"65283946"
"A-4"|Yes|"39867815"|"65283947"
"A-2-4"|Yes|"39867816"|"65283948"
"A-4"|No |"39867816"|"65283949"
"A-1-b"|Yes|"39867817"|"65283950"
"A-2"|No |"39867817"|"65283951"
"A-4"|No |"39867817"|"65283952"
"A-2"|No |"39867818"|"65283953"
"A-4"|Yes|"39867818"|"65283954"
"A-2-4"|Yes|"39867819"|"65283955"
"A-4"|No |"39867819"|"65283956"
"A-1-b"|Yes|"39867820"|"65283957"
"A-2"|No |"39867820"|"65283958"
"A-4"|No |"39867820"|"65283959"
"A-2"|No |"39867821"|"65283960"
"A-4"|Yes|"39867821"|"65283961"
"A-2-4"|Yes|"39867822"|"65283962"
"A-4"|No |"39867822"|"65283963"
"A-1-b"|Yes|"39867823"|"65283964"
"A-2"|No |"39867823"|"65283965"
"A-4"|No |"39867823"|"65283966"
"A-8"|Yes|"39867825"|"65283967"
"A-4"|Yes|"39867826"|"65283968"
"A-4"|Yes|"39867827"|"65283969"
"A-2"|No |"39867828"|"65283970"
"A-4"|Yes|"39867828"|"65283971"
"A-1"|No |"39867829"|"65283972"
"A-2-4"|Yes|"39867829"|"65283973"
"A-4"|No |"39867829"|"65283974"
"A-8"|Yes|"39867831"|"65283975"
"A-2"|No |"39867832"|"65283976"
"A-4"|Yes|"39867832"|"65283977"
"A-5"|No |"39867832"|"65283978"
"A-8"|Yes|"39867833"|"65283979"
"A-2"|No |"39867834"|"65283980"
"A-4"|Yes|"39867834"|"65283981"
"A-2"|No |"39867835"|"65283982"
"A-4"|Yes|"39867835"|"65283983"
"A-1"|No |"39867836"|"65283984"
"A-2-4"|Yes|"39867836"|"65283985"
"A-4"|No |"39867836"|"65283986"
"A-1"|No |"39867837"|"65283987"
"A-2-4"|Yes|"39867837"|"65283988"
"A-4"|No |"39867837"|"65283989"
"A-8"|Yes|"39867840"|"65283990"
"A-2"|No |"39867841"|"65283991"
"A-4"|Yes|"39867841"|"65283992"
"A-2"|No |"39867842"|"65283993"
"A-4"|Yes|"39867842"|"65283994"
"A-1"|No |"39867843"|"65283995"
"A-2-4"|Yes|"39867843"|"65283996"
"A-4"|No |"39867843"|"65283997"
