||"Riser"||"20529092"|"7012005"
||"Tread"||"20529093"|"7011948"
||"Riser"||"20529094"|"7011951"
||"Tread"||"20529095"|"7011955"
||"Tread"||"20529096"|"7011957"
||"Tread"||"20529097"|"7011963"
||"Tread"||"20529098"|"7011966"
|"Crest"|||"20529099"|"7012021"
|"Crest"|||"20529100"|"7012024"
|"Side Slope"|||"20529101"|"7012027"
|"Side Slope"|||"20529102"|"7012030"
|"Side Slope"|||"20529103"|"7012033"
||"Tread"||"20529104"|"7011843"
||"Tread"||"20529105"|"7011845"
||"Tread"||"20529106"|"7011847"
||"Riser"||"20529107"|"7011849"
||"Tread"||"20529108"|"7011956"
||"Tread"||"20529109"|"7011958"
||"Riser"||"20529110"|"7012013"
||"Tread"||"20529111"|"7011964"
||"Tread"||"20529112"|"7012000"
||"Tread"||"20529113"|"7012002"
||"Tread"||"20529114"|"7012004"
||"Riser"||"20529115"|"7012006"
||"Riser"||"20529116"|"7012008"
|"Crest"|||"20529117"|"7011813"
|"Crest"|||"20529118"|"7011816"
|"Side Slope"|||"20529119"|"7011819"
|"Side Slope"|||"20529120"|"7011822"
|"Crest"|||"20529121"|"7011825"
|"Crest"|||"20529122"|"7011828"
|"Interfluve"|||"20529123"|"7012271"
|"Crest"|||"20529123"|"7012272"
|"Interfluve"|||"20529124"|"7012274"
|"Crest"|||"20529125"|"7012276"
|"Side Slope"|||"20529126"|"7012243"
|"Nose Slope"|||"20529126"|"7012244"
|"Interfluve"|||"20529127"|"7012247"
|"Side Slope"|||"20529127"|"7012248"
|"Head Slope"|||"20529128"|"7012251"
|"Interfluve"|||"20529128"|"7012252"
|"Side Slope"|||"20529128"|"7012253"
|"Side Slope"|||"20529129"|"7012257"
|"Nose Slope"|||"20529129"|"7012258"
|"Side Slope"|||"20529130"|"7012261"
|"Nose Slope"|||"20529130"|"7012262"
|"Side Slope"|||"20529131"|"7012265"
|"Free face"|||"20529131"|"7012266"
|"Side Slope"|||"20529132"|"7012219"
|"Free face"|||"20529132"|"7012220"
|"Crest"|||"20529133"|"7012224"
|"Nose Slope"|||"20529133"|"7012225"
|"Interfluve"|||"20529133"|"7012226"
|"Interfluve"|||"20529134"|"7012229"
|"Side Slope"|||"20529134"|"7012230"
|"Head Slope"|||"20529134"|"7012231"
|"Side Slope"|||"20529135"|"7012235"
|"Base Slope"|||"20529136"|"7012239"
|"Interfluve"|||"20529137"|"7012240"
|"Crest"|||"20529137"|"7012241"
